"建物他項權利登記","棟數_棟","設定","移轉","變更","塗銷","其他","面積_平方公尺","設定","移轉","變更","塗銷","其他"
"107年<br>(1月至5月)/ 臺南市 / 登記項目總計","37,299","15,925","8,182","2,035","11,157","-","7,295,388.70","2,920,050.66","1,142,771.26","960,222.54","2,272,344.24","-"
"107年<br>(1月至5月)/ 臺南市 / 抵押權","37,299","15,925","8,182","2,035","11,157","-","7,295,388.70","2,920,050.66","1,142,771.26","960,222.54","2,272,344.24","-"
"107年<br>(1月至5月)/ 臺南市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺南市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺南市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺南市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺南市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺南市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺南市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺南市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 高雄市 / 登記項目總計","66,979","25,421","13,718","9,104","18,736","-","9,732,562.60","3,679,010.05","1,658,989.25","1,474,370.19","2,920,193.11","-"
"107年<br>(1月至5月)/ 高雄市 / 抵押權","66,979","25,421","13,718","9,104","18,736","-","9,732,562.60","3,679,010.05","1,658,989.25","1,474,370.19","2,920,193.11","-"
"107年<br>(1月至5月)/ 高雄市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 高雄市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 高雄市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 高雄市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 高雄市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 高雄市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 高雄市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 高雄市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 登記項目總計","8,755","4,133","28","2,036","2,558","-","1,584,416.67","669,232.02","16,042.75","435,292.17","463,849.73","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 抵押權","8,755","4,133","28","2,036","2,558","-","1,584,416.67","669,232.02","16,042.75","435,292.17","463,849.73","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 宜蘭縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹縣 / 登記項目總計","17,215","8,948","1,489","1,216","5,562","-","3,055,486.72","1,256,973.79","264,879.49","434,426.75","1,099,206.69","-"
"107年<br>(1月至5月)/ 新竹縣 / 抵押權","17,215","8,948","1,489","1,216","5,562","-","3,055,486.72","1,256,973.79","264,879.49","434,426.75","1,099,206.69","-"
"107年<br>(1月至5月)/ 新竹縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 苗栗縣 / 登記項目總計","7,708","4,200","171","807","2,530","-","1,862,229.66","742,612.89","27,703.92","249,606.13","842,306.72","-"
"107年<br>(1月至5月)/ 苗栗縣 / 抵押權","7,708","4,200","171","807","2,530","-","1,862,229.66","742,612.89","27,703.92","249,606.13","842,306.72","-"
"107年<br>(1月至5月)/ 苗栗縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 苗栗縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 苗栗縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
