"建物他項權利登記","棟數_棟","設定","移轉","變更","塗銷","其他","面積_平方公尺","設定","移轉","變更","塗銷","其他"
"107年<br>(1月至5月)/ 連江縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 連江縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 連江縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 連江縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 連江縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 連江縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 區域別總計 / 登記項目總計","152,805","51,793","55,061","10,273","35,678","-","22,360,758.48","7,590,910.35","6,779,126.78","2,236,017.18","5,754,704.17","-"
"107年 1月/ 區域別總計 / 抵押權","152,804","51,792","55,061","10,273","35,678","-","22,360,709.43","7,590,861.30","6,779,126.78","2,236,017.18","5,754,704.17","-"
"107年 1月/ 區域別總計 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 區域別總計 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 區域別總計 / 典權","1","1","-","-","-","-","49.05","49.05","-","-","-","-"
"107年 1月/ 區域別總計 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 區域別總計 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 區域別總計 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 區域別總計 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 區域別總計 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新北市 / 登記項目總計","30,293","10,923","9,287","2,421","7,662","-","2,925,619.15","971,655.67","932,668.19","253,618.43","767,676.86","-"
"107年 1月/ 新北市 / 抵押權","30,293","10,923","9,287","2,421","7,662","-","2,925,619.15","971,655.67","932,668.19","253,618.43","767,676.86","-"
"107年 1月/ 新北市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新北市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新北市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新北市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新北市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新北市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新北市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新北市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺北市 / 登記項目總計","16,528","5,695","5,785","808","4,240","-","1,539,047.93","509,355.46","545,986.76","101,459.55","382,246.16","-"
"107年 1月/ 臺北市 / 抵押權","16,527","5,694","5,785","808","4,240","-","1,538,998.88","509,306.41","545,986.76","101,459.55","382,246.16","-"
"107年 1月/ 臺北市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺北市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺北市 / 典權","1","1","-","-","-","-","49.05","49.05","-","-","-","-"
"107年 1月/ 臺北市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺北市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺北市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺北市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺北市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 桃園市 / 登記項目總計","17,937","5,776","6,584","1,699","3,878","-","3,305,815.08","1,174,025.67","817,748.54","405,328.06","908,712.81","-"
"107年 1月/ 桃園市 / 抵押權","17,937","5,776","6,584","1,699","3,878","-","3,305,815.08","1,174,025.67","817,748.54","405,328.06","908,712.81","-"
"107年 1月/ 桃園市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 桃園市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 桃園市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 桃園市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 桃園市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 桃園市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 桃園市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 桃園市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺中市 / 登記項目總計","18,583","7,154","6,062","730","4,637","-","2,818,102.08","1,025,194.38","863,677.08","183,143.51","746,087.11","-"
"107年 1月/ 臺中市 / 抵押權","18,583","7,154","6,062","730","4,637","-","2,818,102.08","1,025,194.38","863,677.08","183,143.51","746,087.11","-"
"107年 1月/ 臺中市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺中市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺中市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺中市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺中市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺中市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺中市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺中市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺南市 / 登記項目總計","14,594","3,541","8,149","409","2,495","-","2,893,197.82","757,943.53","1,137,479.69","211,535.37","786,239.23","-"
"107年 1月/ 臺南市 / 抵押權","14,594","3,541","8,149","409","2,495","-","2,893,197.82","757,943.53","1,137,479.69","211,535.37","786,239.23","-"
"107年 1月/ 臺南市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺南市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺南市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺南市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺南市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺南市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺南市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺南市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 高雄市 / 登記項目總計","25,402","5,627","13,654","2,081","4,040","-","3,265,607.51","843,988.33","1,601,906.54","246,289.87","573,422.77","-"
"107年 1月/ 高雄市 / 抵押權","25,402","5,627","13,654","2,081","4,040","-","3,265,607.51","843,988.33","1,601,906.54","246,289.87","573,422.77","-"
"107年 1月/ 高雄市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 高雄市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 高雄市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 高雄市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 高雄市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 高雄市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 高雄市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 高雄市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 宜蘭縣 / 登記項目總計","1,845","928","18","304","595","-","324,276.06","149,645.94","12,338.95","41,323.38","120,967.79","-"
"107年 1月/ 宜蘭縣 / 抵押權","1,845","928","18","304","595","-","324,276.06","149,645.94","12,338.95","41,323.38","120,967.79","-"
"107年 1月/ 宜蘭縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 宜蘭縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 宜蘭縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 宜蘭縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 宜蘭縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 宜蘭縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 宜蘭縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 宜蘭縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹縣 / 登記項目總計","7,335","3,412","1,487","569","1,867","-","1,244,279.75","492,238.64","264,726.67","234,380.11","252,934.33","-"
"107年 1月/ 新竹縣 / 抵押權","7,335","3,412","1,487","569","1,867","-","1,244,279.75","492,238.64","264,726.67","234,380.11","252,934.33","-"
"107年 1月/ 新竹縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 苗栗縣 / 登記項目總計","1,968","1,097","169","92","610","-","347,790.18","147,291.48","27,093.01","79,011.31","94,394.38","-"
"107年 1月/ 苗栗縣 / 抵押權","1,968","1,097","169","92","610","-","347,790.18","147,291.48","27,093.01","79,011.31","94,394.38","-"
"107年 1月/ 苗栗縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 苗栗縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 苗栗縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 苗栗縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 苗栗縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 苗栗縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 苗栗縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 苗栗縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 彰化縣 / 登記項目總計","2,971","1,533","66","329","1,043","-","826,947.45","360,070.55","32,023.38","125,365.31","309,488.21","-"
"107年 1月/ 彰化縣 / 抵押權","2,971","1,533","66","329","1,043","-","826,947.45","360,070.55","32,023.38","125,365.31","309,488.21","-"
"107年 1月/ 彰化縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 彰化縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 彰化縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 彰化縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 彰化縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 彰化縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 彰化縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 彰化縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 南投縣 / 登記項目總計","1,107","528","21","94","464","-","253,799.87","114,485.71","3,279.44","44,714.78","91,319.94","-"
"107年 1月/ 南投縣 / 抵押權","1,107","528","21","94","464","-","253,799.87","114,485.71","3,279.44","44,714.78","91,319.94","-"
"107年 1月/ 南投縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 南投縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 南投縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 南投縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 南投縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 南投縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 南投縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 南投縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 雲林縣 / 登記項目總計","1,370","615","48","161","546","-","479,561.88","200,447.37","27,727.89","44,489.62","206,897.00","-"
"107年 1月/ 雲林縣 / 抵押權","1,370","615","48","161","546","-","479,561.88","200,447.37","27,727.89","44,489.62","206,897.00","-"
"107年 1月/ 雲林縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 雲林縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 雲林縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 雲林縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 雲林縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 雲林縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 雲林縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 雲林縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義縣 / 登記項目總計","1,083","411","289","38","345","-","313,364.73","155,601.83","42,936.46","45,438.85","69,387.59","-"
"107年 1月/ 嘉義縣 / 抵押權","1,083","411","289","38","345","-","313,364.73","155,601.83","42,936.46","45,438.85","69,387.59","-"
"107年 1月/ 嘉義縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 屏東縣 / 登記項目總計","3,371","901","1,551","217","702","-","657,469.49","175,845.02","238,067.32","100,672.15","142,885.00","-"
"107年 1月/ 屏東縣 / 抵押權","3,371","901","1,551","217","702","-","657,469.49","175,845.02","238,067.32","100,672.15","142,885.00","-"
"107年 1月/ 屏東縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 屏東縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 屏東縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 屏東縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 屏東縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 屏東縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 屏東縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 屏東縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺東縣 / 登記項目總計","582","254","120","23","185","-","102,481.01","45,332.79","17,844.81","9,125.53","30,177.88","-"
"107年 1月/ 臺東縣 / 抵押權","582","254","120","23","185","-","102,481.01","45,332.79","17,844.81","9,125.53","30,177.88","-"
"107年 1月/ 臺東縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺東縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺東縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺東縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺東縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺東縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺東縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 臺東縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 花蓮縣 / 登記項目總計","1,195","549","6","163","477","-","232,419.95","93,516.56","575.30","67,929.83","70,398.26","-"
"107年 1月/ 花蓮縣 / 抵押權","1,195","549","6","163","477","-","232,419.95","93,516.56","575.30","67,929.83","70,398.26","-"
"107年 1月/ 花蓮縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 花蓮縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 花蓮縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 花蓮縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 花蓮縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 花蓮縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 花蓮縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 花蓮縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 澎湖縣 / 登記項目總計","137","79","-","11","47","-","82,490.58","68,773.54","-","3,547.42","10,169.62","-"
"107年 1月/ 澎湖縣 / 抵押權","137","79","-","11","47","-","82,490.58","68,773.54","-","3,547.42","10,169.62","-"
"107年 1月/ 澎湖縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 澎湖縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 澎湖縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 澎湖縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 澎湖縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 澎湖縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 澎湖縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 澎湖縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 基隆市 / 登記項目總計","2,084","1,112","201","51","720","-","151,937.88","88,166.82","9,606.62","3,656.34","50,508.10","-"
"107年 1月/ 基隆市 / 抵押權","2,084","1,112","201","51","720","-","151,937.88","88,166.82","9,606.62","3,656.34","50,508.10","-"
"107年 1月/ 基隆市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 基隆市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 基隆市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 基隆市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 基隆市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 基隆市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 基隆市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 基隆市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹市 / 登記項目總計","2,655","1,102","816","37","700","-","332,828.70","113,547.67","123,454.96","10,873.23","84,952.84","-"
"107年 1月/ 新竹市 / 抵押權","2,655","1,102","816","37","700","-","332,828.70","113,547.67","123,454.96","10,873.23","84,952.84","-"
"107年 1月/ 新竹市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 新竹市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義市 / 登記項目總計","1,594","453","748","32","361","-","243,899.98","92,250.12","79,985.17","23,507.40","48,157.29","-"
"107年 1月/ 嘉義市 / 抵押權","1,594","453","748","32","361","-","243,899.98","92,250.12","79,985.17","23,507.40","48,157.29","-"
"107年 1月/ 嘉義市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 嘉義市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 金門縣 / 登記項目總計","170","102","-","4","64","-","19,695.40","11,407.27","-","607.13","7,681.00","-"
"107年 1月/ 金門縣 / 抵押權","170","102","-","4","64","-","19,695.40","11,407.27","-","607.13","7,681.00","-"
"107年 1月/ 金門縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 金門縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 金門縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 金門縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 金門縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 金門縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 金門縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 金門縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 連江縣 / 登記項目總計","1","1","-","-","-","-","126.00","126.00","-","-","-","-"
"107年 1月/ 連江縣 / 抵押權","1","1","-","-","-","-","126.00","126.00","-","-","-","-"
"107年 1月/ 連江縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 連江縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 連江縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 連江縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 連江縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 連江縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 連江縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 1月/ 連江縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 區域別總計 / 登記項目總計","61,143","31,746","832","6,236","22,329","-","10,142,928.38","4,469,252.10","129,766.18","1,384,950.07","4,158,960.03","-"
"107年 2月/ 區域別總計 / 抵押權","61,143","31,746","832","6,236","22,329","-","10,142,928.38","4,469,252.10","129,766.18","1,384,950.07","4,158,960.03","-"
"107年 2月/ 區域別總計 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 區域別總計 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 區域別總計 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 區域別總計 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 區域別總計 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 區域別總計 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 區域別總計 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 區域別總計 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新北市 / 登記項目總計","12,959","6,563","2","1,796","4,598","-","1,299,946.08","613,186.82","267.27","191,771.09","494,720.90","-"
"107年 2月/ 新北市 / 抵押權","12,959","6,563","2","1,796","4,598","-","1,299,946.08","613,186.82","267.27","191,771.09","494,720.90","-"
"107年 2月/ 新北市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新北市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新北市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新北市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新北市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新北市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新北市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 新北市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺北市 / 登記項目總計","7,212","3,842","3","459","2,908","-","685,177.49","361,542.44","315.25","49,777.06","273,542.74","-"
"107年 2月/ 臺北市 / 抵押權","7,212","3,842","3","459","2,908","-","685,177.49","361,542.44","315.25","49,777.06","273,542.74","-"
"107年 2月/ 臺北市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺北市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺北市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺北市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺北市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺北市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年 2月/ 臺北市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
